FALL,,,,,,,
Fall 2026 Course Schedule - Graduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COMP 5322 1,Advanced Software Engineering,Abdulkerim Oncu,7:00 PM,8:30 PM,Mon,815,H - Hybrid
COMP 5327 1,Advanced Algorithms,Nadeem Daudpota,5:30 PM,7:00 PM,Mon,815,H - Hybrid
COMP 5331 1,Advanced Cloud Computing,Mustafa Simsek,,,,,OF - Online Flexible
COMP 5334 1,Advanced Network Security,Azamat Zhamanov,5:30 PM,7:00 PM,Tue,839,H - Hybrid
COMP 5336 1,Computer Forensics,Nadeem Daudpota,,,,,OF - Online Flexible
COMP 5337 1,Machine Learning,Saleem Masadeh,,,,,OF - Online Flexible
COMP 5339 1,Advanced Software Analysis and Design,Abdulkerim Oncu,,,,,OF - Online Flexible
COMP 5351 1,Advanced Network Administration,Azamat Zhamanov,,,,,OF - Online Flexible
COMP 5352 1,Advanced Internetworking Technology,Azamat Zhamanov,,,,,OF - Online Flexible
COMP 5353 1,Advanced Data Mining,Saleem Masadeh,,,,,OF - Online Flexible
COMP 5356 1,Advanced Software Project Management,Abdulkerim Oncu,,,,,OF - Online Flexible
COMP 5393 1,Capstone Project,Abdulkerim Oncu,10:00 AM,11:30 AM,Fri,815,H - Hybrid
COMP 5398 1,Internship,Ihsan Said,,,,,I - Internship
COUN 5317 1,Practicum for School Counseling,Linda Hart,,,,,I - Internship
EDUC 5322 1,Practicum I,David Aslin,,,,,I - Internship
MBA 5312 1,Managerial Accounting and Budgeting,TBD,5:00 PM,6:30 PM,Wed,,H - Hybrid
MBA 5313 1,Statistics for Business Decision Making,Riaz Mahmood,5:00 PM,6:30 PM,Thu,,H - Hybrid
MBA 5316 1,Management and Organization Theory,TBD,5:30 PM,7:00 PM,Mon,,H - Hybrid
MBA 5317 1,Business Policy and Strategy,TBD,,,,,OF - Online Flexible
MBA 5318 1,Project Management,Richard Alrayes,6:00 PM,7:30 PM,Tue,,H - Hybrid
MBA 5319 1,Financial Management,John Topuz,,,,,OF - Online Flexible
MBA 5332 1,"Creativity, Innovation and Design",TBD,,,,,OF - Online Flexible
MBA 5341 1,Health Care Systems,Richard Alrayes,,,,,OF - Online Flexible
MBA 5352 1,Managerial Decision Models and Simulation,John Topuz,,,,,OF - Online Flexible
MBA 5362 1,Quality Management and Control,TBD,,,,,OF - Online Flexible
MBA 5390 1,Thesis Research,Selahattin Bekmez,5:00 PM,6:30 PM,Fri,,H - Hybrid
MBA 5399 1,Internship,Selahattin Bekmez,,,,,I - Internship
PCP 0300 1,Principal Exam and PASL Preparation,David Aslin,,,,,OF - Online Flexible
Fall I - Course Schedule,,,,,,,
"August 19, 2026 to October 9, 2026",,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COUN 5318 1,Group and Family Counseling Theories and Techniques,Linda Hart,,,,,OF - Online Flexible
COUN 5319 1,Mental Health & Community Counseling,Linda Hart,10:00 AM,11:30 AM,Tue,,H - Hybrid
EDUC 5311 1,Human Growth and Development,TBA,,,,,OF - Online Flexible
EDUC 5313 1,Statistical Procedures and measurement,Karman Kurban,6:00 PM,7:30 AM,Wed,,H - Hybrid
EDUC 5314 1,Data-Driven Instruction,Wendy Schulze,3:00 PM,4:30 PM,Wed,,H - Hybrid
EDUC 5328 1,Action Research,Ann Marie Smith,4:30 PM,6:00 PM,Wed,,H - Hybrid
Fall II - Course Schedule,,,,,,,
"October 14, 2026 to December 4, 2026",,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
COUN 5311,Foundation of School Counselling,Linda Hart,,,,,OF - Online Flexible
COUN 5320,Counseling for Special Population,Linda Hart,,,,,OF - Online Flexible
