Undergraduate Summer 1 Course Schedule,,,,,,
"May 26, 2026 to June 26, 2026",,,,,,
Changes are in red,,,,,,
Course Code,Course Title,Professor,Start Time,End Time,Days,Meeting Type
BIOL 1311,Introductory Biology,Mounira Morgem,,,,OF - Online Flexible
BUSI 2311,Business Statistics,Riaz Mahmood,,,,OF - Online Flexible
BUSI 2312,"Math Applications in 
 Business",Alina Rajbhandari,,,,OF - Online Flexible
COMM1311,"Fundamentals of 
 Communications",James Keller,,,,OF - Online Flexible
COMP 2313,Data Structures,Likhitha Kanagala,,,,OF - Online Flexible
COMP 2415,Systems Programming,Likhitha Kanagala,,,,OF - Online Flexible
COMP 3322,Software Engineering,Glory Kurian,,,,OF - Online Flexible
COMP 3324,Computer Networks,Azamat Zhamanov,,,,OF - Online Flexible
ECON 2311,Principles of Macroeconomics,Riaz Mahmood,,,,OF - Online Flexible
EDUC 0011,Pedagogy and Professional Responsibility,Kerime Sari,,,,OF - Online Flexible
ENGL 1311,Composition and Rhetoric I,LaTisha Metts,,,,OF - Online Flexible
FINA 1312,Principles of Finance,Enrika Huseni,,,,OF - Online Flexible
FINA 3314,Personal Financial Planning,John Topuz,,,,OF - Online Flexible
GEOL 1311,Earth Science,Suleyman Incekara,,,,OF - Online Flexible
GOVT 2311,U.S. Government I,Shirley Gruen,,,,OF - Online Flexible
HIST 1311,U.S. History I,Gul Musavi,,,,OF - Online Flexible
MATH 1311,College Algebra,Alina Rajbhandari,,,,OF - Online Flexible
MNGT 2311,"Management & Organizational 
 Behavior",Richard Alrayes,,,,OF - Online Flexible
MNGT 4320,Supply Chain Management,Yaseen Bhutto,,,,OF - Online Flexible
MRKT 2311,Principles of Marketing,Yaseen Bhutto,,,,OF - Online Flexible
PHIL 1313,Introduction to Philosophy,Stacy Burleson,,,,OF - Online Flexible
SPAN 1311,Elementary Spanish,Orlando Bruzual,,,,OF - Online Flexible
Undergraduate Summer 2 Course Schedule,,,,,,
"June 29, 2026 to July 31, 2026",,,,,,
Course Code,Course Title,Professor,,,,Meeting Type
BUSI 3315,Business Law,Richard Alrayes,,,,OF - Online Flexible
BUSI 4316,International Business,Yaseen Bhutto,,,,OF - Online Flexible
COMM 2312,Business Communication,James Keller,,,,OF - Online Flexible
COMP 3317,Algorithms,Sabina Adhikari,,,,OF - Online Flexible
COMP 4353,Data Mining,Sabina Adhikari,,,,OF - Online Flexible
COMP 4356,Software Project Management,Glory Kurian,,,,OF - Online Flexible
ECON 2312,Principles of Microeconomics,Selahattin Bekmez,,,,OF - Online Flexible
ENGL 1312,Composition and Rhetoric II,LaTisha Metts,,,,OF - Online Flexible
FINA 1311,Personal Finance,John Topuz,,,,OF - Online Flexible
FINA 3312,Business Finance,Riaz Mahmood,,,,OF - Online Flexible
GEOG 2311,Human Geography,Suleyman Incekara,,,,OF - Online Flexible
GOVT 2312,U.S. Government II,Shirley Gruen,,,,OF - Online Flexible
HIST 1312,U.S. History II,Gul Musavi,,,,OF - Online Flexible
MATH 1313,Pre-Calculus,Alina Rajbhandari,,,,OF - Online Flexible
MATH 2314,Calculus I,Hoang Nguyen,,,,OF - Online Flexible
PSYC 2311,General Psychology,Deborah McGinty,,,,OF - Online Flexible
SOCI 2311,Introduction to Sociology,Muhammed Cetin,,,,OF - Online Flexible
Undergraduate Summer 3 Course Schedule,,,,,,
"May 26, 2026 to July 31, 2026",,,,,,
Course Code,Course Title,Professor,,,,Meeting Type
BUSI 4399,Internship,Selahattin Bekmez,,,,I - Internship
COMP 4393,Senior Design Project,Ihsan Said,,,,OF - Online Flexible
COMP 4398,Internship,Ihsan Said,,,,I - Internship
EDUC 4010,Internship,Kerime Sari,,,,OF - Online Flexible
,,,,,,
Graduate Summer 1 Course Schedule,,,,,,
"May 18, 2026 to June 26, 2026",,,,,,
Changes are in red,,,,,,
Course Code,Course Title,Professor,Start Time,End Time,Days,Meeting Type
COMP 5329,Advanced Operating Systems,Nadeem Daudpota,,,,OF - Online Flexible
COMP 5331,Advanced Cloud Computing,Mustafa Simsek,,,,OF - Online Flexible
COUN 5314,Multicultural Counseling,Linda Hart,,,,OF - Online Flexible
CUIN 5343 1,"Seminar in Curriculum & 
 Instruction 3",Selahattin Cinar,,,,OF - Online Flexible
CUIN 5343 2,"Seminar in Curriculum & 
 Instruction 3",Harun Yilmaz,,,,OF - Online Flexible
CUIN 5343 3,"Seminar in Curriculum & 
 Instruction 3",Ann M Smith,,,,OF - Online Flexible
EDUC 5319,"School Budgeting and 
 Resource Management",Wendy Schulze,,,,OF - Online Flexible
EDUC 5334,"Integrating Technology into 
 Education for School Leaders",Wendy Schulze,,,,OF - Online Flexible
MBA 5319,Financial Management,John Topuz,,,,OF - Online Flexible
MBA 5341,Healthcare Systems,Richard Alrayes,,,,OF - Online Flexible
Graduate Summer 2 Course Schedule,,,,,,
"June 29, 2026 to August 7, 2026",,,,,,
Course Code,Course Title,Professor,,,,Meeting Type
COMP 5322,"Advanced Software 
 Engineering",Abdulkerim Oncu,6:00 PM,7:30 PM,Mon,H - Hybrid
COMP 5327,Advanced Algorithms,Nadeem Daudpota,,,,OF - Online Flexible
COMP 5334,"Advanced Network and 
 Computer Security",Azamat Zhamanov,,,,OF - Online Flexible
COMP 5353,Advanced Data Mining,Saleem Masadeh,,,,OF - Online Flexible
COUN 5316,"Career Development and 
 Counseling",Linda Hart,,,,OF - Online Flexible
CUIN 5323,Teaching Science Lab,Ramil Ahmadov,,,,OF - Online Flexible
CUIN 5332,"Digital Graphics and 
 Animation",Harun Yilmaz,,,,OF - Online Flexible
EDUC 5327,"Instruction Law and Ethics for 
 School Leaders",Wendy Schulze,,,,OF - Online Flexible
EDUC 5335,"Action Research for School 
 Leaders",Wendy Schulze,,,,OF - Online Flexible
ENGL 5315,Literature for Young Adults,Ann M Smith,,,,OF - Online Flexible
MATH 5313,Advanced Calculus,Hoang Nguyen,,,,OF - Online Flexible
MBA 5313,"Statistics for Business 
 Decision Making",Riaz Mahmood,,,,OF - Online Flexible
MBA 5314,Marketing Management,Yaseen Bhutto,5:00 PM,6:30 PM,Mon,H - Hybrid
MBA 5315,Leadership in Organizations,Richard Alrayes,,,,OF - Online Flexible
MBA 5352,"Managerial Decision Models 
 & Simulations",John Topuz,,,,OF - Online Flexible
Graduate Summer 3 Course Schedule,,,,,,
"May 18, 2026 to August 7, 2026",,,,,,
Course Code,Course Title,Professor,,,,Meeting Type
EDUC 0011,Pedagogy and Professional Responsibility,Kerime Sari,,,,OF - Online Flexible
COMP 5393,Capstone Project,Abdulkerim Oncu,,,,OF - Online Flexible
COMP 5398,Internship,Ihsan Said,,,,I - Internship
MBA 5399,Internship,Selahattin Bekmez,,,,I - Internship
,,,,,,
,Course Meeting Types,,,,,
,H - Hybrid:,Attend class in-person and via webinar on an alternating basis.,,,,
,I - Internship:,Attend supervised experience in the field at an approved site.,,,,
,IP - In Person,Attend class in-person during scheduled class time.,,,,
,OF - Online Flexible:,Attend class via live webinar scheduled by instructor or view recorded webinar and submit summary of webinar by due date set by instructor.,,,,
,OS - Online Synchronous:,Attend class via live webinar during scheduled class time.,,,,
