FALL,,,,,,,
Fall 2026 Course Schedule - Undergraduate,,,,,,,
"August 19, 2026 to December 4, 2026",,,,,,,
Changes are in red,,,,,,,
Course Code,Course Name,Professor,Start Time,End Time,Days,Room,Meeting Type
ACCT 2311 1,Fundamentals of Financial Accounting,TBD,10:00 AM,11:30 AM,"Mon, Wed",,IP - In Person
ACCT 2312 1,Fundamentals of Managerial Accounting,TBD,8:30 AM,10:00 AM,"Mon, Wed",,IP - In Person
ARTS 1311 1,Art Appreciation,Amanda Boyaki-Wilson,10:00 AM,11:30 AM,"Mon, Wed",,IP - In Person
ARTS 1311 2,Art Appreciation,Amanda Boyaki-Wilson,1:00 PM,2:30 PM,"Mon, Wed",,IP - In Person
BIOL 1311 1,Introductory Biology,Mounira Morgem,,,,,OF - Online Flexible
BIOL 1312 1,Nutrition,Mounira Morgem,,,,,OF - Online Flexible
BUSI 2311 1,Business Statistics,Riaz Mahmood,1:00 PM,2:30 PM,"Mon, Wed",,IP - In Person
BUSI 2312 1,Mathematical Applications in Business,Alina Rajbhandari,8:30 AM,10:00 AM,"Tues, Thur",,IP - In Person
BUSI 3313 1,Business Information Management,Alma Robles,,,,,OF - Online Flexible
BUSI 3314 1,Business Ethics,TBD,11:30 AM,1:00 PM,Wed,,H - Hybrid
BUSI 4317 1,Business Policy and Strategy,TBD,8:30 AM,10:00 AM,Mon,,H - Hybrid
BUSI 4399 1,Internship,TBD,,,,,I - Internship
COMM 1311 1,Fundamentals of Communication,James Keller,11:30 AM,1:00 PM,"Tues, Thur",,IP - In Person
COMM 1311 2,Fundamentals of Communication,James Keller,,,,,OF - Online Flexible
COMM 1313 1,Public Speaking,James Keller,2:30 PM,4:00 PM,"Tues, Thur",,H - Hybrid
COMM 2312 1,Business Communication,James Keller,10:00 AM,11:30 AM,"Tues, Thur",,IP - In Person
COMP 1314 1,Computer Literacy and Application,System Admin,8:30 AM,10:00 AM,Thu,,H - Hybrid
COMP 1411 1,Introduction to Programming I,Likhitha Kanagala,10:00 AM,1:00 PM,Thu,,H - Hybrid
COMP 1412 1,Introduction to Programming II,Sabina Adhikari,8:30 AM,11:30 AM,Wed,,H - Hybrid
COMP 2313 1,Data Structures,Glory Kurian,11:30 AM,1:00 PM,Wed,,H - Hybrid
COMP 2316 1,Computer Organization,System Admin,1:00 PM,2:30 PM,Wed,,H - Hybrid
COMP 2319 1,Introduction to Artificial Intelligence,Sabina Adhikari,1:00 PM,2:30 PM,Thu,,H - Hybrid
COMP 2415 1,System Programming,Glory Kurian,2:30 PM,5:30 PM,Thu,,H - Hybrid
COMP 3317 1,Algorithms,Sabina Adhikari,11:30 AM,1:00 PM,Wed,,H - Hybrid
COMP 3318 1,Operating Systems,Nadeem Daudpota,10:00 AM,11:30 AM,Thu,,H - Hybrid
COMP 3322 1,Software Engineering,Glory Kurian,,,,,OF - Online Flexible
COMP 3324 1,Computer Networks,Azamat Zhamanov,,,,,OF - Online Flexible
COMP 4326 1,Front-End Web Development,Likhitha Kanagala,8:30 AM,10:00 AM,Wed,,H - Hybrid
COMP 4327 1,Back-End Web Development,Likhitha Kanagala,10:00 AM,11:30 AM,Wed,,H - Hybrid
COMP 4336 1,Software Project Management,Glory Kurian,11:30 AM,1:00 PM,Thu,,H - Hybrid
COMP 4337 1,Software Requirements and Analysis,Glory Kurian,1:00 PM,2:30 PM,Wed,,H - Hybrid
COMP 4351 1,Network Administration,Azamat Zhamanov,2:30 PM,4:00 PM,Wed,,H - Hybrid
COMP 4352 1,Internetworking Technology,Azamat Zhamanov,4:00 PM,5:30 PM,Wed,,H - Hybrid
COMP 4361 1,Fundamentals of Cybersecurity,Nadeem Daudpota,8:30 AM,10:00 AM,Thu,,H - Hybrid
COMP 4364 1,AI for Cybersecurity,Nadeem Daudpota,,,,,OF - Online Flexible
COMP 4371 1,Big Data Analytics,Sabina Adhikari,2:30 PM,4:00 PM,Thu,,H - Hybrid
COMP 4372 1,Data Visualization,Likhitha Kanagala,,,,,OF - Online Flexible
COMP 4374 1,Python for Data Analytics,Likhitha Kanagala,1:00 PM,2:30 PM,Thu,,H - Hybrid
COMP 4393 1,Senior Design Project,Abdulkerim Oncu,11:30 AM,1:00 PM,Tue,,H - Hybrid
COMP 4394 1,Senior Research Project,Sabina Adhikari,,,,,OF - Online Flexible
COMP 4398 1,Internship,Ihsan Said,,,,,I - Internship
CRJS 1301 1,Introduction to Criminal Justice,Pete Alvarado,,,,,OS - Online Synchronous
CRJS 2303 1,Criminal Law,Richard Brasuell,,,,,OS - Online Synchronous
CRJS 3311 1,Criminal Justice Research,Ozgur Nikbay,2:00 PM,3:30 PM,Thur,,H - Hybrid
CRJS 3312 1,Criminal Pyschology,Richard Brasuell,,,,,OS - Online Synchronous
CRJS 4322 1,Ethics In Criminal Justice,Mustafa Donmez,,,,,OS - Online Synchronous
ECON 2311 1,Principles of Macroeconomics,TBD,,,,,H - Hybrid
ECON 2312 1,Principles of Microeconomics,Selahattin Bekmez,10:00 AM,11:30 AM,Mon,,H - Hybrid
EDUC 2311 1,Introduction to Teaching Profession,TBA,8:30 AM,10:00 AM,Tue,,H - Hybrid
EDUC 3201 1,Seminar for STR Exam Prep,TBA,11:00 AM,12:30 PM,Fri,,H - Hybrid
EDUC 3316 1,Integrating Technology into the Curriculum,Harun Yilmaz,11:30 AM,1:00 PM,"Tues, Thur",,H - Hybrid
